Mean NoEL,Std. dev. NoEL,Mean Frond,Std. dev. Frond,Median Critic,Std. dev. Critic,Mean Coop Lev,Std. dev. Coop Lev,Mean Coop A,Std. dev. Coop A,Mean Coop B,Std. dev. Coop B,Mean Coop C,Std. dev. Coop C,Synchronicity,Class,Dataset,TR
6.6440677966101696,1.904167702559682,0.9038135593220339,0.1775027861038225,0.10951791207182393,0.09306400574720954,1.7966101694915255,1.4447996872119566,1.847457627118644,3.9031215639689973,1.2881355932203389,2.232660854247473,6.942372881355932,18.044579479908148,0.5491525423728814,HC,Liege,2000
6.105084745762712,2.3748272892644433,0.9163665254237288,0.16889470116549912,0.11174191831287648,0.09327158599666381,1.6067796610169491,1.4525097399573854,1.352542372881356,3.584020842677524,1.0677966101694916,2.192934778255711,6.983050847457627,21.56951043771829,0.5525423728813559,HC,Liege,2000
6.898305084745763,1.7533978176452991,0.8980932203389831,0.17785975544691915,0.1455882216490186,0.09823676097565044,1.823728813559322,1.457690183893898,2.335593220338983,4.771304150036698,1.3593220338983052,2.321536504936288,7.186440677966102,19.31967871462441,0.6101694915254238,HC,Liege,2000
7.244067796610169,1.4939733379102422,0.9049258474576272,0.17716689936986724,0.16008791662643562,0.09828109480639638,1.7661016949152541,1.4669939481454695,1.8576271186440678,3.9898261883823793,1.2474576271186442,2.2676319263251883,6.901694915254238,18.03463232863252,0.6915254237288135,HC,Liege,2000
6.691525423728813,1.9973956039067917,0.9127383474576272,0.16294674918916216,0.13091721350768187,0.09179714868851649,1.6813559322033897,1.3328285935381732,1.7050847457627119,3.6746231781357843,1.1457627118644067,2.017493161217343,5.708474576271186,16.566550822294264,0.5932203389830508,HC,Liege,2000
6.545762711864406,1.8623224095880022,0.8786016949152542,0.19047847379737717,0.1018029932462188,0.09072135095147195,1.9457627118644067,1.5239691746847297,2.4169491525423727,4.776962815762464,1.5525423728813559,2.451520173985679,8.257627118644068,20.10113584268422,0.49491525423728816,HC,Liege,2000
7.064406779661017,1.669036331302669,0.9074417372881356,0.16554086720854025,0.15352138761831507,0.09119142625123175,1.8101694915254238,1.4253985366281863,2.606779661016949,5.740249342212651,1.311864406779661,2.165451747268932,6.861016949152543,18.34668969309254,0.6779661016949152,HC,Liege,2000
6.816949152542373,2.0186547410382563,0.9317796610169492,0.15039743929078073,0.16748488313255083,0.09363440210982851,1.5559322033898304,1.208482896303401,1.6542372881355931,4.473929074920964,0.9491525423728814,2.030477349015846,4.664406779661017,14.895543215973598,0.6711864406779661,HC,Liege,2000
7.11864406779661,1.4784869242494751,0.9026218220338983,0.1793396459518463,0.14922594219881155,0.09578298966183302,1.847457627118644,1.5049473139269909,2.4203389830508475,5.892217782258652,1.3322033898305086,2.310949667433767,7.688135593220339,19.234441960736383,0.6406779661016949,HC,Liege,2000
6.613559322033899,2.190848270598852,0.9403601694915255,0.14612484021309238,0.17668421679540292,0.10562318206120493,1.4338983050847458,1.2051598346054684,1.0745762711864406,3.13123104725623,0.7796610169491526,1.779999967722048,4.122033898305085,14.327359956422006,0.6644067796610169,HC,Liege,2000
7.189830508474576,1.5463127180878,0.9249470338983051,0.14972774056322477,0.20710869089067313,0.09658867585257419,1.6203389830508474,1.2695628049052814,1.688135593220339,4.058599772976845,1.0101694915254238,1.919542222550465,5.193220338983051,16.57893153931667,0.7084745762711865,HC,Liege,2000
6.759322033898305,2.016803868859516,0.9388241525423728,0.1426492762184153,0.19404761841787768,0.10504177547239148,1.4779661016949153,1.2011389787649605,1.1898305084745762,3.561265006405574,0.7627118644067796,1.730474443132233,4.311864406779661,15.859051682014309,0.6644067796610169,HC,Liege,2000
6.132203389830509,2.238222711837479,0.8968485169491526,0.16958082012873277,0.09126544850206016,0.08917550685806283,1.7423728813559323,1.4313918069582803,2.457627118644068,5.782269901767964,1.2983050847457627,2.110304944260605,6.522033898305085,18.070634177916148,0.5254237288135594,HC,Liege,2000
6.498305084745763,1.9482709870874453,0.9106991525423729,0.1699345912126056,0.10801460454644157,0.08892978076906648,1.664406779661017,1.2484244595250755,1.7457627118644068,3.856727427777197,1.2067796610169492,2.131591623589241,4.935593220338983,12.188043080807315,0.5254237288135594,HC,Liege,2000
6.098305084745762,2.5366126836636487,0.9448622881355933,0.13150451099297591,0.1455229708303437,0.09372883255828307,1.3288135593220338,1.0594291471270019,1.1084745762711865,2.8762786772172566,0.7627118644067796,1.7265521933321082,3.064406779661017,11.881587560304151,0.6440677966101694,HC,Liege,2000
7.48135593220339,1.0730085339782869,0.8985169491525423,0.1710574797889635,0.1943383056416576,0.10011413924402439,1.8610169491525423,1.4418698957683025,2.4101694915254237,5.3846515999299855,1.383050847457627,2.181365809309549,7.132203389830509,18.096712321302686,0.7389830508474576,HC,Liege,2000
7.111864406779661,1.4465721897847152,0.8818591101694915,0.18593071597552155,0.13114727373567678,0.08935148762298374,1.9966101694915255,1.5870200303857964,2.450847457627119,4.702338865632644,1.5661016949152542,2.3739126088388147,9.003389830508475,21.036771406775173,0.6338983050847458,HC,Liege,2000
7.650847457627119,0.9655722605223012,0.9629502118644068,0.1104764645944933,0.25931475058559417,0.09541417571546985,1.3186440677966103,0.902064407537602,1.023728813559322,3.3993189239606356,0.5491525423728814,1.483282306393371,2.386440677966102,10.541917260850441,0.8406779661016949,HC,Liege,2000
7.4,1.1800603259500575,0.9202065677966101,0.16172962160675206,0.207580766578704,0.10287948270833257,1.6813559322033897,1.3429634037533342,2.094915254237288,5.194959216779723,1.11864406779661,2.149377093546272,6.020338983050848,18.07816155776962,0.7288135593220338,HC,Liege,2000
